Time,Operation,Status,Latitude,Longitude,Altitude,Heading,Speed,Intent deviation,Intent altitude,Intent speed,Deconfliction Level
1726158700,SHT19A  -rodolphe02,None,51.4653,-0.3163,1643.699507,270.37,155.0155521,0,1643.699507,155.0155521,None
1726158700,AAL107  -rodolphe02,None,51.4723,-0.5595,2844.881773,253.93,184.214619,0,2844.881773,184.214619,None
1726158700,VIR301  -rodolphe02,None,51.465,-0.4294,267.3448276,269.62,152.0217729,0,267.3448276,152.0217729,None
1726158700,UAS0-rodolphe02,TA,51.4696591,-0.4496935,250,354.61,13,-150,150,13,1
1726158700,AMZN1-RODOLPHE02,TA,51.46959512,-0.44407148,250.2463054,42.29079398,85.53654743,0,350.2463054,85.53654743,1
1726158700,BAW820  -rodolphe02,None,51.4778,-0.536,2094.142857,271.18,194.0513219,0,1818.871921,173.0171073,None
1726158700,EIN161  -rodolphe02,None,51.4776,-0.4665,467.5418719,269.61,148.0171073,0,292.3694581,153.0132193,None
1726158700,EIN169  -rodolphe02,None,51.4647,-0.6083,3845.866995,254.74,250.8553655,0,3370.399015,229.9766719,None
1726158707,SHT5X   -rodolphe02,None,51.4653,-0.3255,1493.551724,269.64,160.0116641,0,1493.551724,160.0116641,None
1726158707,TAP1361 -rodolphe02,None,51.4777,-0.4879,943.0098522,270,163.0054432,0,943.0098522,163.0054432,None
1726158707,RYR12PF -rodolphe02,None,51.4386,-0.3458,16483.30542,24.02,302.1967341,0,16483.30542,302.1967341,None
1726158707,BEL7AH  -rodolphe02,None,51.4651,-0.3993,642.7142857,269.58,136.0225505,0,642.7142857,136.0225505,None
1726158707,EXS6UP  -rodolphe02,None,51.501,-0.3186,29696.31034,100.36,461.566874,0,29696.31034,461.566874,None
1726158707,BAW554R -rodolphe02,None,51.46104553,-0.617759264,3398.37931,245.54,256.0069984,0,3398.37931,256.0069984,None
1726158707,SHT19A  -rodolphe02,None,51.4653,-0.3163,1643.699507,270.37,155.0155521,0,1643.699507,155.0155521,None
1726158707,AAL107  -rodolphe02,None,51.4723,-0.5595,2844.881773,253.93,184.214619,0,2844.881773,184.214619,None
1726158707,VIR301  -rodolphe02,None,51.465,-0.4294,267.3448276,269.62,152.0217729,0,267.3448276,152.0217729,None
1726158707,UAS0-rodolphe02,Clear of Conflict,51.4696591,-0.4496935,250,354.61,13,-150,150,13,0
1726158707,BAW820  -rodolphe02,None,51.4778923,-0.543211961,2174.27422,271.18,194.0513219,0,1818.871921,173.0171073,None
1726158707,EIN169  -rodolphe02,None,51.46317104,-0.617293376,4022.057471,254.74,250.8553655,0,3370.399015,229.9766719,None
